,Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),el retiro: (Finlandia),Puerta del Sol: (Finlandia),gran via: (Finlandia),Museo Nacional Thyssen-Bornemisza: (Finlandia),cibeles: (Finlandia),Puerta de Alcalá: (Finlandia),callao: (Finlandia)
84,2017-03-12,24,0,0,0,0,0,100,0,0
85,2017-03-19,38,0,0,0,0,0,51,0,0
86,2017-03-26,38,0,0,0,0,0,0,0,0
87,2017-04-02,26,0,0,38,43,0,52,0,75
88,2017-04-09,28,47,0,0,42,0,51,0,0
89,2017-04-16,0,44,0,0,43,0,0,100,0
90,2017-04-23,24,41,65,37,42,0,0,0,0
91,2017-04-30,51,43,0,39,0,0,0,0,39
92,2017-05-07,39,0,0,37,41,0,0,0,0
93,2017-05-14,28,47,0,39,0,0,0,0,0
94,2017-05-21,30,51,0,0,0,0,0,0,0
95,2017-05-28,0,0,0,0,0,0,0,0,40
96,2017-06-04,27,0,0,0,0,0,56,0,0
97,2017-06-11,27,45,70,40,0,0,0,0,40
98,2017-06-18,0,0,0,0,45,0,0,0,0
99,2017-06-25,0,98,0,0,0,0,0,0,40
100,2017-07-02,30,0,0,41,46,58,0,0,0
101,2017-07-09,31,79,0,0,46,0,0,0,0
102,2017-07-16,63,53,0,0,46,57,0,0,40
103,2017-07-23,49,50,0,0,0,56,0,0,0
104,2017-07-30,37,46,0,0,42,0,51,0,0
105,2017-08-06,27,46,0,37,0,0,0,0,37
106,2017-08-13,27,45,0,0,42,0,0,0,37
107,2017-08-20,51,0,0,0,42,0,0,0,0
108,2017-08-27,39,44,0,0,0,0,0,0,0
109,2017-09-03,25,42,0,0,41,0,0,0,0
110,2017-09-10,25,42,0,0,81,0,0,0,36
111,2017-09-17,26,0,0,0,0,0,0,0,0
112,2017-09-24,50,42,0,0,42,0,0,0,0
113,2017-10-01,24,41,64,0,61,0,0,0,36
114,2017-10-08,26,43,63,0,0,0,0,92,59
115,2017-10-15,0,46,0,38,0,0,0,0,37
116,2017-10-22,25,42,0,37,42,0,50,0,0
117,2017-10-29,0,41,0,0,0,50,0,0,0
118,2017-11-05,25,41,0,0,0,50,0,0,36
119,2017-11-12,24,0,63,0,41,51,0,94,36
120,2017-11-19,0,0,0,0,40,0,49,0,36
121,2017-11-26,0,0,0,0,0,0,0,0,36
122,2017-12-03,24,0,0,0,0,0,0,0,37
123,2017-12-10,0,41,0,0,42,52,0,0,37
124,2017-12-17,27,0,0,0,0,55,0,0,38
125,2017-12-24,29,49,0,0,0,0,0,0,61
126,2017-12-31,26,0,0,38,43,0,51,0,0
127,2018-01-07,24,40,0,36,0,51,50,0,0
128,2018-01-14,24,0,0,0,0,0,0,0,0
129,2018-01-21,49,41,0,0,40,0,49,0,36
130,2018-01-28,36,0,0,35,40,100,0,0,35
131,2018-02-04,0,0,0,0,0,0,0,0,35
132,2018-02-11,52,44,0,37,0,0,0,0,0
133,2018-02-18,25,42,0,0,41,0,0,0,0
134,2018-02-25,36,0,0,36,40,0,0,0,0
135,2018-03-04,24,0,0,0,81,0,0,0,36
136,2018-03-11,24,0,0,35,0,0,0,0,0
137,2018-03-18,0,0,0,0,40,0,0,0,0
138,2018-03-25,0,46,0,0,0,0,0,0,0
139,2018-04-01,49,62,62,0,0,50,0,0,36
140,2018-04-08,41,0,62,0,80,0,0,0,0
141,2018-04-15,50,42,0,35,40,51,0,0,35
142,2018-04-22,24,41,0,0,0,0,0,0,0
143,2018-04-29,36,0,0,0,0,0,0,0,0
144,2018-05-06,26,43,0,0,0,53,0,0,0
