Semana,Museo Nacional del Prado: (Bélgica),Plaza Mayor: (Bélgica),Parque de El Retiro: (Bélgica),puerta del sol: (Bélgica),gran via: (Bélgica),Museo Nacional Thyssen-Bornemisza: (Bélgica),Templo de Debod: (Bélgica),Catedral de Santa María la Real de la Almudena: (Bélgica),cibeles: (Bélgica),Palacio de Cristal: (Bélgica),El Rastro: (Bélgica),Plaza de Toros de Las Ventas: (Bélgica),Chueca: (Bélgica),callao: (Bélgica),Calle de Serrano: (Bélgica)
2017-01-01,34,44,48,44,34,0,0,0,0,51,0,0,69,19,0
2017-01-08,24,41,0,21,21,0,48,0,0,47,0,0,0,17,55
2017-01-15,49,0,45,0,16,20,0,0,0,48,0,0,0,43,0
2017-01-22,0,0,46,0,27,20,49,0,0,0,0,0,0,17,0
2017-01-29,33,42,45,21,16,20,0,43,50,0,45,0,0,35,0
2017-02-05,49,0,0,41,27,20,0,0,0,0,0,0,66,17,0
2017-02-12,25,42,0,42,32,0,0,0,0,0,0,0,0,17,0
2017-02-19,33,41,45,21,16,20,0,44,50,96,0,0,0,35,0
2017-02-26,16,60,0,20,16,29,0,0,0,93,0,49,64,34,0
2017-03-05,56,40,0,60,23,0,47,0,0,0,0,0,0,0,0
2017-03-12,16,0,45,0,24,20,0,0,51,0,0,0,66,17,0
2017-03-19,24,41,0,41,32,20,0,0,100,0,45,0,0,17,56
2017-03-26,17,44,47,22,17,0,0,0,0,0,0,53,0,18,0
2017-04-02,18,0,0,0,17,0,0,0,54,0,0,0,0,19,0
2017-04-09,0,44,0,0,34,21,0,0,0,0,0,0,0,18,0
2017-04-16,17,0,0,21,17,20,0,44,76,50,0,51,0,18,0
2017-04-23,16,0,44,34,21,19,0,0,0,0,0,0,0,34,0
2017-04-30,16,0,45,21,16,20,0,0,50,0,0,51,0,26,0
2017-05-07,32,41,0,0,16,39,0,0,49,0,0,50,0,0,0
2017-05-14,17,43,0,0,25,21,0,0,52,0,0,0,0,18,0
2017-05-21,19,0,51,24,0,23,0,50,58,0,0,0,0,20,0
