Semana,prado: (Alemania),plaza mayor: (Alemania),el retiro: (Alemania),puerta del sol: (Alemania),gran via: (Alemania),museo thyssen: (Alemania),templo de debod: (Alemania),catedral de la almudena: (Alemania),cibeles: (Alemania),palacio de cristal: (Alemania),puerta de alcala: (Alemania),el rastro: (Alemania),las ventas: (Alemania),chueca: (Alemania),san gines: (Alemania),callao: (Alemania)
2018-11-25,1,29,33,16,42,40,0,0,17,0,0,66,15,0,0,33
2018-12-02,<1,14,33,0,46,0,0,47,17,79,40,0,15,24,44,40
2018-12-09,<1,22,33,79,19,40,43,0,0,0,0,50,0,24,0,49
2018-12-16,<1,30,0,24,30,0,0,49,0,0,42,69,0,25,0,34
2018-12-23,<1,33,0,37,29,0,0,0,0,0,0,0,18,0,0,96
2018-12-30,<1,23,0,100,31,0,47,0,0,42,0,35,16,25,0,43
2019-01-06,<1,41,32,22,100,0,0,0,0,38,78,0,0,23,43,16
2019-01-13,<1,40,47,15,55,0,0,0,16,75,38,31,22,37,42,69
2019-01-20,1,40,31,15,28,0,0,44,16,0,0,0,0,0,0,31
2019-01-27,<1,40,31,22,39,0,0,0,32,37,0,31,0,22,0,23
2019-02-03,1,27,0,30,48,0,0,0,16,0,0,32,15,45,0,46
2019-02-10,1,37,32,15,41,0,42,0,17,38,79,32,0,23,0,63
2019-02-17,<1,32,0,23,49,0,0,0,17,0,0,0,15,23,43,32
2019-02-24,<1,57,33,15,46,39,0,0,17,0,0,100,15,24,0,49
2019-03-03,<1,42,0,15,36,38,42,0,34,0,39,48,20,0,0,32
2019-03-10,1,20,31,15,32,0,41,45,33,38,0,32,29,22,42,31
2019-03-17,<1,43,33,16,46,40,0,0,34,39,40,49,15,0,44,24
2019-03-24,1,42,33,39,46,0,43,0,17,39,0,33,0,23,44,41
2019-03-31,<1,38,97,16,33,0,0,47,34,0,41,49,0,24,45,65
2019-04-07,<1,51,33,38,53,0,0,0,17,38,40,33,15,0,44,47
2019-04-14,<1,23,0,50,47,42,0,0,0,0,0,0,0,0,48,61
2019-04-21,1,37,34,24,70,0,45,0,18,41,0,0,0,0,46,34
2019-04-28,1,46,32,38,24,0,42,45,17,0,0,0,22,23,0,64
2019-05-05,1,34,42,30,56,37,0,45,33,38,38,42,14,0,0,39
2019-05-12,<1,21,54,31,49,38,42,0,17,0,40,49,15,47,0,24
2019-05-19,1,42,63,23,30,0,0,0,33,0,0,64,30,35,0,24
2019-05-26,<1,38,33,16,62,39,87,0,17,39,41,33,20,47,0,16
2019-06-02,1,28,64,15,49,38,0,46,0,38,40,64,30,23,0,16
2019-06-09,1,14,33,47,63,0,0,0,26,39,41,99,31,0,88,16
2019-06-16,<1,58,33,47,47,0,0,0,0,0,41,45,26,0,0,49
2019-06-23,<1,29,50,31,30,0,0,0,17,40,41,33,15,0,45,41
2019-06-30,<1,35,0,31,33,0,42,0,34,0,0,33,45,47,0,64
2019-07-07,1,28,0,30,41,0,0,0,17,38,0,32,15,23,0,31
2019-07-14,1,24,33,16,21,0,88,0,35,0,0,33,0,0,0,25
2019-07-21,<1,15,0,33,44,0,0,0,0,0,87,0,16,0,48,52
2019-07-28,<1,22,68,16,30,0,0,0,36,0,0,0,16,24,0,67
2019-08-04,<1,15,68,33,17,0,0,0,18,41,0,34,16,25,46,42
2019-08-11,<1,21,0,16,42,0,43,0,17,0,0,33,0,35,0,41
2019-08-18,<1,14,0,16,32,0,0,0,17,0,0,34,15,36,45,41
2019-08-25,<1,19,0,16,44,0,0,0,34,39,0,0,15,24,0,48
2019-09-01,<1,32,32,15,30,0,0,0,33,0,40,32,0,23,43,55
2019-09-08,<1,37,0,0,25,77,0,0,17,0,0,32,15,35,0,32
2019-09-15,<1,19,32,31,49,57,42,0,0,0,0,32,15,46,0,64
2019-09-22,1,14,32,0,24,37,83,0,16,0,39,47,0,45,43,23
2019-09-29,1,36,0,37,60,0,0,0,0,94,39,53,0,45,42,62
2019-10-06,<1,18,47,45,60,37,0,45,0,38,39,31,0,0,0,31
2019-10-13,1,22,0,30,24,0,0,0,16,0,0,42,14,22,0,15
2019-10-20,1,31,0,15,54,36,40,0,16,0,37,30,0,22,0,68
2019-10-27,1,13,30,29,31,36,40,0,16,36,38,30,0,44,41,30
2019-11-03,1,30,29,41,63,0,0,0,15,0,0,29,14,35,40,43
2019-11-10,<1,26,30,36,17,36,0,43,16,36,56,46,14,43,41,45
2019-11-17,100,34,60,14,38,0,0,0,24,0,74,0,0,21,40,30
2019-11-24,3,13,30,28,23,0,0,0,16,36,0,0,20,0,40,29
2019-12-01,2,22,0,29,38,0,0,0,16,0,0,30,21,43,41,37
2019-12-08,1,26,0,22,31,0,40,43,32,0,37,90,14,22,40,37
2019-12-15,1,27,0,29,27,37,40,0,0,0,0,31,14,22,42,15
2019-12-22,1,15,0,17,60,0,0,0,27,0,0,35,33,25,47,17
2019-12-29,<1,23,49,46,45,0,0,0,17,0,40,0,15,70,0,40
2020-01-05,<1,45,29,0,36,34,37,0,15,0,0,29,20,21,0,57
2020-01-12,1,32,0,20,67,33,0,0,15,50,35,28,13,0,38,48
2020-01-19,<1,38,29,20,43,34,0,0,15,0,36,29,13,20,0,42
2020-01-26,1,37,28,13,25,34,0,0,15,0,35,0,13,0,39,49
2020-02-02,<1,25,29,20,33,0,0,0,0,34,0,29,13,21,0,42
2020-02-09,1,18,28,40,42,33,0,0,0,33,0,28,0,20,37,27
2020-02-16,<1,19,29,14,40,0,38,0,15,0,0,0,20,31,39,43
2020-02-23,<1,32,57,13,32,0,0,0,15,0,0,0,0,0,38,70
2020-03-01,<1,18,42,26,25,0,0,0,15,33,0,0,26,0,75,14
2020-03-08,<1,46,26,25,33,31,0,0,14,0,0,26,24,19,0,33
2020-03-15,<1,11,26,37,20,31,0,0,13,0,0,26,0,18,0,51
2020-03-22,<1,39,26,31,26,0,0,0,0,31,0,0,0,0,0,38
2020-03-29,<1,28,26,24,36,30,34,0,13,0,0,26,0,19,35,31
2020-04-05,<1,24,28,27,27,33,0,0,15,34,0,0,0,0,0,28
2020-04-12,<1,0,54,0,20,0,0,0,14,0,0,27,25,0,36,40
2020-04-19,<1,28,53,31,25,31,0,0,14,0,32,53,12,0,0,45
2020-04-26,<1,41,26,24,13,0,33,0,0,0,0,26,0,0,0,0
2020-05-03,<1,22,26,25,10,0,34,0,0,0,32,26,0,18,0,13
2020-05-10,<1,19,26,31,16,31,0,0,14,31,0,26,12,18,35,0
2020-05-17,<1,24,55,13,26,0,36,39,0,0,0,27,0,0,0,55
2020-05-24,<1,12,0,38,17,0,35,0,0,32,33,0,0,0,0,26
2020-05-31,<1,23,26,12,20,31,0,0,0,0,0,26,0,19,0,26
2020-06-07,<1,11,26,13,27,0,0,0,0,31,0,0,12,19,0,26
2020-06-14,<1,11,26,25,33,0,34,0,14,0,0,0,0,38,36,32
2020-06-21,<1,30,0,26,18,0,0,0,0,0,0,41,13,20,0,0
2020-06-28,<1,16,27,13,26,0,0,0,14,0,0,0,13,0,0,13
2020-07-05,<1,20,28,13,21,33,0,40,0,0,0,55,13,0,37,14
2020-07-12,<1,29,58,14,11,0,0,0,38,0,36,0,27,21,0,14
2020-07-19,<1,34,29,14,11,0,0,0,15,36,0,0,0,21,0,22
2020-07-26,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
