Semana,Museo Nacional del Prado: (Portugal),Plaza Mayor: (Portugal),Parque de El Retiro: (Portugal),Puerta del Sol: (Portugal),gran via: (Portugal),Museo Nacional Thyssen-Bornemisza: (Portugal),Templo de Debod: (Portugal),Catedral de Santa María la Real de la Almudena: (Portugal),cibeles: (Portugal),Palacio de Cristal: (Portugal),Puerta de Alcalá: (Portugal),El Rastro: (Portugal),Plaza de Toros de Las Ventas: (Portugal),Chueca: (Portugal),callao: (Portugal)
2019-04-07,<1,41,0,19,35,30,85,0,0,27,0,0,24,26,30
2019-04-14,1,0,47,19,35,29,0,51,0,18,0,0,23,38,59
2019-04-21,1,56,43,0,30,44,42,51,22,13,0,0,23,51,0
2019-04-28,1,0,0,0,18,30,42,25,42,20,0,53,35,26,0
2019-05-05,1,0,27,18,23,28,81,49,20,19,45,0,22,0,28
2019-05-12,1,0,0,18,28,28,40,24,30,13,0,50,52,0,28
2019-05-19,1,26,0,18,42,28,41,24,0,13,45,0,45,24,28
2019-05-26,1,0,81,0,22,28,40,0,0,13,44,74,56,0,28
2019-06-02,<1,24,26,0,16,0,38,23,0,12,0,47,32,23,0
2019-06-09,<1,26,27,27,34,0,0,25,0,19,45,0,68,25,0
2019-06-16,<1,26,27,18,39,28,0,36,0,19,0,50,22,0,56
2019-06-23,1,38,40,0,55,28,39,0,20,17,0,0,0,0,28
2019-06-30,1,0,53,17,25,0,39,24,20,17,0,0,29,0,27
2019-07-07,1,0,78,17,43,0,39,23,0,12,0,49,22,23,27
2019-07-14,1,26,0,0,44,55,0,24,20,21,0,0,0,24,0
2019-07-21,1,26,0,36,17,27,40,24,40,17,43,0,34,24,0
2019-07-28,<1,26,28,18,34,57,41,0,20,13,0,0,23,0,29
2019-08-04,1,37,26,17,64,27,38,0,0,33,0,48,32,23,40
2019-08-11,1,39,80,55,61,0,0,0,20,21,0,0,44,49,28
2019-08-18,1,0,0,18,61,28,39,24,0,29,43,0,0,24,28
2019-08-25,1,76,44,18,66,27,0,24,20,21,43,0,22,24,27
2019-09-01,<1,50,39,23,27,27,0,23,19,24,0,0,0,0,54
2019-09-08,<1,0,26,26,27,0,38,0,0,18,0,0,21,23,27
2019-09-15,0,48,100,17,31,52,74,0,19,20,41,46,41,23,0
2019-09-22,<1,24,25,22,21,52,0,23,19,30,41,47,21,23,26
2019-09-29,<1,0,0,50,31,0,37,45,0,18,0,0,21,22,0
2019-10-06,1,24,0,17,36,0,37,22,28,32,0,0,31,23,0
2019-10-13,<1,0,49,0,23,0,0,44,18,12,0,0,20,0,26
2019-10-20,<1,24,51,0,48,26,38,46,19,12,42,0,0,23,27
2019-10-27,<1,24,25,42,31,0,0,22,0,28,0,0,0,45,26
2019-11-03,1,0,25,17,54,26,37,22,37,20,0,0,0,23,0
2019-11-10,<1,0,50,17,37,26,37,23,38,12,0,0,0,23,0
2019-11-17,100,0,0,17,23,26,0,0,0,12,0,0,0,0,40
2019-11-24,3,0,49,16,46,25,73,22,18,12,0,45,20,33,0
2019-12-01,1,0,0,17,24,27,38,23,39,25,42,0,0,0,27
2019-12-08,<1,25,26,17,27,0,0,23,19,12,0,0,22,23,0
2019-12-15,1,24,25,22,36,0,0,0,0,0,0,93,21,0,0
2019-12-22,1,28,0,0,60,0,43,26,22,21,0,0,48,52,30
2019-12-29,1,26,41,27,67,56,0,48,41,26,44,50,23,36,28
2020-01-05,1,0,25,16,15,25,0,0,0,18,0,0,20,0,34
2020-01-12,1,44,34,15,38,32,34,41,17,11,0,0,0,31,48
2020-01-19,1,24,24,0,35,25,36,22,18,23,0,0,0,22,25
2020-01-26,1,22,24,16,44,0,35,21,18,11,0,0,19,21,25
2020-02-02,<1,0,32,32,39,0,35,0,0,11,39,0,20,21,37
2020-02-09,1,0,94,0,44,25,0,21,18,15,0,88,19,21,25
