Semana,Museo Nacional del Prado: (Austria),plaza mayor: (Austria),puerta del sol: (Austria),gran via: (Austria),Museo Nacional Thyssen-Bornemisza: (Austria),Catedral de Santa María la Real de la Almudena: (Austria),cibeles: (Austria),puerta de alcala: (Austria),chueca: (Austria),callao: (Austria)
2017-04-16,0,39,29,33,0,0,0,0,84,0
2017-04-23,<1,0,27,0,0,0,0,0,0,0
2017-04-30,<1,0,0,0,0,0,47,0,0,37
2017-05-07,1,39,56,48,0,0,0,0,82,36
2017-05-14,1,41,0,35,0,0,0,0,89,0
2017-05-21,1,0,0,36,0,0,0,0,0,0
2017-05-28,<1,0,30,34,0,0,0,0,0,0
2017-06-04,<1,40,44,34,0,0,47,0,0,0
2017-06-11,<1,0,61,35,48,0,0,0,0,0
2017-06-18,<1,0,29,33,45,0,0,0,0,0
2017-06-25,0,0,29,0,0,0,0,0,0,0
2017-07-02,0,0,0,35,47,0,0,0,0,0
2017-07-09,0,0,60,34,47,0,0,0,0,0
2017-07-16,0,42,31,36,0,0,0,0,0,0
2017-07-23,<1,0,29,0,0,0,0,0,0,0
2017-07-30,<1,0,30,34,0,0,0,0,0,0
2017-08-06,<1,0,29,49,0,0,46,0,0,36
2017-08-13,<1,0,0,35,47,0,0,0,90,39
2017-08-20,<1,40,44,50,0,59,0,0,0,37
2017-08-27,<1,39,28,0,0,0,46,0,83,36
2017-09-03,1,0,0,32,44,0,0,0,0,0
2017-09-10,<1,38,41,31,42,0,0,0,0,0
2017-09-17,<1,0,0,31,42,0,0,0,0,0
2017-09-24,<1,38,28,47,0,55,0,0,0,0
2017-10-01,1,37,27,0,41,0,0,0,0,34
2017-10-08,<1,0,27,31,0,54,44,0,0,34
2017-10-15,<1,0,0,31,42,0,0,0,80,0
2017-10-22,1,38,0,32,42,55,0,0,0,35
2017-10-29,<1,37,54,0,42,0,0,0,0,0
2017-11-05,<1,36,26,0,0,0,0,0,0,0
2017-11-12,2,0,26,45,40,0,0,0,0,0
2017-11-19,1,0,26,0,0,0,0,0,0,0
2017-11-26,1,0,53,0,41,53,0,0,0,0
2017-12-03,<1,37,27,0,42,53,44,0,80,51
2017-12-10,<1,0,26,0,0,0,0,0,77,0
2017-12-17,<1,0,37,33,0,0,0,0,0,0
2017-12-24,<1,0,30,68,0,0,48,0,0,0
2017-12-31,<1,0,27,0,0,0,0,0,78,0
2018-01-07,1,34,33,28,0,0,39,0,0,0
2018-01-14,<1,0,49,0,0,0,0,0,0,31
2018-01-21,<1,0,25,84,38,0,0,0,0,31
2018-01-28,<1,0,49,0,0,49,39,0,73,0
2018-02-04,1,0,25,29,0,100,0,0,0,32
2018-02-11,<1,0,49,56,0,0,0,0,0,31
2018-02-18,<1,0,24,0,37,0,0,0,71,31
2018-02-25,<1,33,49,0,0,0,39,0,0,31
2018-03-04,0,34,24,0,0,0,0,0,0,0
2018-03-11,<1,34,24,28,0,48,39,0,0,31
2018-03-18,<1,34,25,28,0,0,0,0,0,0
2018-03-25,1,0,39,30,41,52,0,0,0,0
2018-04-01,0,0,0,31,0,0,0,0,0,35
2018-04-08,<1,0,0,30,0,0,43,0,0,100
2018-04-15,<1,36,53,0,41,0,0,0,0,0
2018-04-22,<1,36,39,45,0,0,0,0,0,33
2018-04-29,<1,0,27,31,0,0,0,0,0,68
2018-05-06,0,0,27,31,0,0,0,0,0,0
2018-05-13,<1,35,26,30,0,0,41,0,0,0
2018-05-20,<1,36,40,31,0,53,0,70,0,0
2018-05-27,<1,0,26,0,0,0,42,0,0,0
2018-06-03,<1,35,0,29,0,0,0,0,0,0
2018-06-10,<1,34,25,28,38,49,0,0,0,0
2018-06-17,<1,0,26,0,0,0,0,0,74,32
2018-06-24,0,34,25,28,0,0,0,0,0,0
2018-07-01,<1,0,25,0,0,0,0,0,0,0
2018-07-08,<1,0,52,30,80,0,0,0,0,0
2018-07-15,1,0,26,0,0,0,0,0,0,34
2018-07-22,<1,0,0,30,0,0,0,0,77,34
2018-07-29,0,37,54,31,0,0,0,0,0,0
2018-08-05,<1,0,26,30,40,0,0,0,0,0
2018-08-12,<1,37,0,0,0,0,0,0,0,34
2018-08-19,1,0,52,50,41,52,0,0,0,0
2018-08-26,<1,35,0,29,0,0,0,0,0,32
2018-09-02,<1,0,26,29,0,0,0,0,0,33
2018-09-09,<1,36,26,88,40,0,0,0,0,0
2018-09-16,0,35,26,29,0,0,41,0,76,0
2018-09-23,<1,36,26,30,40,0,0,0,0,32
2018-09-30,<1,34,25,0,0,0,0,0,0,0
2018-10-07,<1,0,26,29,0,51,0,0,76,0
2018-10-14,1,35,26,29,0,0,0,0,0,32
2018-10-21,<1,0,26,90,0,0,42,0,0,33
2018-10-28,<1,0,0,0,40,52,0,0,0,0
2018-11-04,<1,34,37,57,0,0,40,0,73,0
2018-11-11,1,0,26,29,40,0,41,68,0,0
2018-11-18,<1,33,24,28,38,48,0,0,0,31
2018-11-25,<1,34,25,29,0,0,0,0,0,32
2018-12-02,<1,68,25,28,39,0,40,0,0,32
2018-12-09,<1,0,33,28,0,0,0,0,0,0
2018-12-16,<1,35,26,30,40,0,0,0,0,0
2018-12-23,<1,0,28,33,44,0,0,0,85,0
2018-12-30,<1,35,25,29,0,0,0,0,74,0
2019-01-06,<1,0,0,0,36,0,0,0,69,30
2019-01-13,<1,32,23,0,36,46,37,0,68,0
2019-01-20,1,32,0,0,0,0,0,0,0,0
2019-01-27,<1,64,23,26,0,0,0,0,0,29
2019-02-03,<1,0,24,0,55,47,38,0,0,30
