Semana,Museo Nacional del Prado: (Países Bajos),Plaza Mayor: (Países Bajos),Parque de El Retiro: (Países Bajos),puerta del sol: (Países Bajos),gran via: (Países Bajos),Museo Nacional Thyssen-Bornemisza: (Países Bajos),Templo de Debod: (Países Bajos),Catedral de Santa María la Real de la Almudena: (Países Bajos),cibeles: (Países Bajos),Palacio de Cristal: (Países Bajos),Puerta de Alcalá: (Países Bajos),El Rastro: (Países Bajos),Plaza de Toros de Las Ventas: (Países Bajos),Chueca: (Países Bajos),callao: (Países Bajos)
2018-07-15,1,36,30,0,58,0,0,0,45,0,0,0,0,30,37
2018-07-22,<1,0,61,33,0,0,0,16,0,0,0,0,0,0,23
2018-07-29,<1,37,0,0,22,0,0,0,0,0,0,0,0,0,23
2018-08-05,<1,36,0,0,22,0,0,0,46,0,0,0,0,0,34
2018-08-12,<1,35,0,0,21,0,48,24,0,48,0,0,0,30,45
2018-08-19,<1,35,0,32,21,16,0,16,44,46,0,44,0,43,29
2018-08-26,<1,52,29,31,21,0,47,0,0,0,52,44,34,29,64
2018-09-02,<1,50,0,0,91,15,0,0,0,0,0,0,33,0,52
2018-09-09,<1,33,28,31,61,15,45,15,0,0,0,0,0,0,63
2018-09-16,<1,33,28,30,54,15,0,15,0,0,0,42,66,28,42
2018-09-23,<1,34,0,61,54,31,0,0,0,0,50,0,33,0,0
2018-09-30,<1,33,0,62,34,31,0,30,42,46,50,0,0,0,21
2018-10-07,<1,69,44,31,52,0,0,16,87,0,52,44,34,0,22
2018-10-14,<1,68,29,31,28,0,47,31,0,0,52,0,0,29,43
2018-10-21,<1,51,28,31,34,0,46,0,43,0,52,43,0,28,22
2018-10-28,<1,66,28,0,60,0,0,0,42,0,100,0,0,0,21
2018-11-04,<1,0,27,30,52,0,0,15,0,0,0,0,0,40,30
2018-11-11,<1,33,28,0,40,0,45,0,42,0,0,0,0,27,31
2018-11-18,<1,0,54,29,39,15,0,0,0,0,0,41,0,0,20
2018-11-25,<1,33,27,30,40,15,45,0,42,0,50,0,0,0,20
2018-12-02,<1,33,28,30,26,0,89,0,42,0,0,0,0,0,41
2018-12-09,<1,0,0,31,41,0,0,16,0,0,0,0,0,0,32
2018-12-16,<1,34,29,63,42,0,47,0,43,0,0,0,0,0,21
2018-12-23,<1,0,0,0,23,17,0,17,48,0,0,48,0,0,70
2018-12-30,<1,35,0,32,0,0,48,16,45,0,0,0,35,0,22
2019-01-06,<1,32,0,59,33,15,0,0,0,0,0,0,0,0,20
