,Semana,bellver: (Francia),cuevas del drach: (Francia),formentor: (Francia),palma aquarium: (Francia),soller: (Francia),cala galdana: (Francia),cala mitjana: (Francia),cala macarella: (Francia),cala macarelleta: (Francia),albufera: (Francia),cala pregonda: (Francia),favaritx: (Francia),benirras: (Francia),es vedra: (Francia),ses salines: (Francia),cala salada: (Francia),ses illetes: (Francia),es pujols: (Francia),babaria: (Francia),magaluf: (Francia)
48,2016-07-03,23,0,10,47,47,28,0,0,78,52,0,55,0,54,68,33,0,0,33,41
49,2016-07-10,22,0,39,50,73,50,0,0,0,91,0,0,49,0,37,35,45,0,0,32
50,2016-07-17,25,0,27,50,60,60,78,57,56,61,0,0,49,0,36,36,89,0,36,58
51,2016-07-24,0,42,16,51,54,30,39,0,0,28,0,0,100,0,55,54,45,0,36,50
52,2016-07-31,17,0,26,52,53,31,0,40,58,61,0,0,52,82,38,0,0,55,74,45
53,2016-08-07,56,0,16,57,64,34,43,43,0,44,0,0,57,43,0,40,51,0,0,82
54,2016-08-14,0,47,12,0,85,34,0,43,62,68,0,0,56,44,41,59,100,0,0,53
55,2016-08-21,34,0,33,0,71,0,0,39,0,34,0,0,51,40,38,37,46,0,36,62
56,2016-08-28,23,0,25,47,35,28,0,35,0,46,0,0,0,36,34,66,0,0,0,46
57,2016-09-04,31,0,30,47,47,28,0,35,0,36,0,54,0,0,34,0,0,0,50,27
58,2016-09-11,38,0,24,0,29,54,0,0,51,50,52,0,46,36,34,33,0,72,0,28
59,2016-09-18,23,0,10,0,44,28,0,0,0,23,0,0,0,36,34,33,0,0,33,21
60,2016-09-25,30,38,13,0,35,0,0,0,0,35,0,0,45,35,0,0,0,0,33,10
61,2016-10-02,31,0,25,47,35,0,0,35,0,31,0,0,0,0,0,0,0,49,0,13
62,2016-10-09,15,0,10,0,32,0,0,0,0,45,52,0,0,0,0,0,0,0,32,6
63,2016-10-16,23,38,0,46,46,0,0,0,0,38,0,0,0,36,33,0,0,0,33,14
64,2016-10-23,15,38,0,0,25,0,0,0,0,30,51,0,0,0,0,0,0,0,32,5
65,2016-10-30,15,0,29,0,23,0,0,0,0,25,0,0,0,35,100,0,0,0,0,7
66,2016-11-06,24,0,9,0,33,0,0,0,0,14,0,0,0,0,0,32,0,0,0,5
67,2016-11-13,15,0,0,0,21,0,0,0,49,44,0,0,0,34,32,0,0,0,0,9
68,2016-11-20,14,0,9,0,21,26,0,0,0,23,48,0,42,0,0,30,0,0,30,5
69,2016-11-27,28,0,9,0,13,26,0,0,0,14,0,0,0,0,0,0,38,0,30,7
70,2016-12-04,28,0,9,0,18,25,0,0,0,28,0,0,0,32,30,30,0,44,30,6
71,2016-12-11,29,0,19,0,22,26,0,0,0,24,0,0,0,33,32,0,0,0,62,3
72,2016-12-18,30,0,0,0,20,27,0,0,0,38,0,0,0,35,0,0,0,0,0,7
73,2016-12-25,16,0,0,0,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,11
74,2017-01-01,28,0,14,0,30,25,0,32,48,28,0,0,0,33,0,0,0,46,31,9
75,2017-01-08,20,0,17,0,28,0,0,0,0,27,0,0,0,0,30,0,0,0,0,11
76,2017-01-15,14,0,9,0,49,0,32,0,46,23,0,0,0,32,0,0,0,0,29,11
77,2017-01-22,20,0,17,0,36,24,0,0,0,45,0,0,0,0,29,0,0,0,0,7
78,2017-01-29,13,0,14,0,33,24,0,0,0,22,0,0,0,63,0,0,36,0,29,12
79,2017-02-05,20,0,9,0,26,0,64,31,0,37,0,48,41,64,0,0,37,0,30,19
80,2017-02-12,33,0,9,0,40,76,33,0,0,49,0,0,0,0,31,0,0,45,30,9
81,2017-02-19,14,0,0,0,47,25,0,0,0,55,0,0,42,0,30,0,0,0,30,15
82,2017-02-26,26,33,9,0,60,35,0,0,0,22,0,0,40,31,0,0,0,0,28,16
83,2017-03-05,26,0,17,40,40,24,0,30,0,31,0,0,40,0,0,0,53,42,28,22
84,2017-03-12,13,0,12,41,26,24,0,0,0,20,0,0,0,0,0,0,0,43,0,12
85,2017-03-19,22,33,17,0,31,24,32,30,44,47,0,0,0,31,0,0,37,43,0,16
86,2017-03-26,21,0,27,0,27,25,33,0,46,47,0,0,42,0,31,0,0,45,30,16
87,2017-04-02,19,36,15,43,32,51,0,0,48,19,0,0,0,0,31,0,38,0,31,25
88,2017-04-09,43,36,16,0,49,26,0,0,0,53,50,50,0,34,31,0,39,0,0,20
89,2017-04-16,29,0,19,0,71,26,0,0,0,67,0,100,43,0,0,31,38,0,31,26
90,2017-04-23,33,34,17,61,61,49,0,30,0,49,46,0,0,0,30,0,0,0,58,30
91,2017-04-30,0,0,13,0,54,0,0,0,0,36,0,0,0,31,0,0,0,0,29,34
92,2017-05-07,0,33,9,0,51,24,0,0,0,63,0,0,0,0,0,0,0,43,29,39
93,2017-05-14,33,0,32,43,46,26,33,32,47,66,0,0,86,0,0,0,0,0,31,57
94,2017-05-21,46,0,20,0,44,28,36,0,0,31,0,0,46,0,0,100,42,0,33,36
