Semana,Museo Nacional del Prado: (Reino Unido),plaza mayor: (Reino Unido),Parque de El Retiro: (Reino Unido),Puerta del Sol: (Reino Unido),gran via: (Reino Unido),Museo Nacional Thyssen-Bornemisza: (Reino Unido),Templo de Debod: (Reino Unido),Catedral de Santa María la Real de la Almudena: (Reino Unido),cibeles: (Reino Unido),Palacio de Cristal: (Reino Unido),Puerta de Alcalá: (Reino Unido),El Rastro: (Reino Unido),Plaza de Toros de Las Ventas: (Reino Unido),Chueca: (Reino Unido),san gines: (Reino Unido),callao: (Reino Unido)
2019-03-17,<1,31,32,16,36,21,0,25,18,24,33,19,30,16,30,25
2019-03-24,<1,41,33,34,27,33,87,77,19,16,34,0,31,16,46,60
2019-03-31,<1,40,33,16,24,16,57,25,18,32,0,19,90,32,0,65
2019-04-07,<1,31,33,27,66,21,29,75,36,16,50,38,30,32,0,50
2019-04-14,<1,37,34,17,59,23,30,26,19,0,35,20,32,17,0,39
2019-04-21,<1,45,25,17,30,33,29,51,18,0,34,19,61,16,0,72
2019-04-28,<1,30,47,24,43,31,82,24,18,16,32,19,29,39,0,57
2019-05-05,<1,62,48,33,34,21,47,37,18,0,33,28,30,16,0,46
2019-05-12,<1,49,27,22,47,16,28,0,0,0,34,19,46,38,30,44
2019-05-19,<1,76,16,27,100,24,47,38,49,0,0,0,61,27,60,65
2019-05-26,<1,100,48,59,76,31,28,25,24,16,33,0,30,48,29,76
2019-06-02,<1,33,15,23,41,25,0,47,17,0,0,18,0,15,28,44
2019-06-09,<1,43,47,39,42,31,55,24,35,15,32,0,87,20,28,41
2019-06-16,<1,44,32,16,48,16,28,0,18,16,0,19,30,27,29,86
2019-06-23,<1,33,24,49,32,16,29,50,18,16,34,19,89,16,0,64
2019-06-30,<1,22,48,49,39,24,42,25,18,21,33,19,40,16,29,64
2019-07-07,<1,35,16,27,36,31,55,49,30,0,33,19,59,16,29,48
2019-07-14,<1,35,48,27,43,16,0,25,0,16,0,28,45,24,29,49
2019-07-21,<1,36,33,50,35,16,29,38,18,16,34,19,30,33,30,56
2019-07-28,<1,45,22,17,34,16,57,25,18,32,34,26,30,16,0,59
2019-08-04,<1,44,32,38,51,24,28,25,18,16,0,19,29,21,0,70
2019-08-11,<1,43,16,16,45,23,28,0,0,16,0,28,0,0,29,48
2019-08-18,<1,36,38,17,47,24,57,38,18,32,34,19,60,16,30,34
2019-08-25,<1,59,40,16,46,63,47,37,54,16,0,19,30,26,29,61
2019-09-01,<1,47,39,16,61,15,0,73,53,15,0,37,29,31,28,36
2019-09-08,<1,42,26,15,60,31,40,24,17,0,0,18,29,15,57,50
2019-09-15,<1,47,31,52,54,31,27,24,17,15,0,36,44,31,28,65
2019-09-22,<1,20,15,22,56,15,26,23,17,29,0,26,27,29,54,76
2019-09-29,<1,53,30,25,36,15,52,46,39,15,0,0,28,15,27,63
2019-10-06,<1,48,39,35,59,22,38,23,16,0,0,17,55,15,54,61
2019-10-13,<1,29,30,35,49,22,52,23,39,0,0,0,28,22,27,62
2019-10-20,<1,28,24,45,42,15,39,34,16,29,30,34,0,29,27,59
2019-10-27,<1,40,24,30,46,36,26,23,27,15,0,17,0,15,54,42
2019-11-03,<1,51,29,22,47,14,37,22,16,14,0,0,54,28,26,38
2019-11-10,<1,24,24,24,54,28,0,22,16,0,0,0,27,19,52,58
2019-11-17,100,31,14,19,52,35,25,0,16,14,44,17,0,14,26,41
2019-11-24,1,46,14,21,46,14,0,21,15,14,29,16,26,14,0,45
2019-12-01,<1,35,24,34,30,28,0,22,16,14,0,17,27,21,0,41
2019-12-08,<1,32,0,22,29,29,25,23,16,0,0,17,0,15,0,61
2019-12-15,<1,46,23,15,41,30,27,47,17,30,0,24,0,23,37,29
2019-12-22,<1,34,33,34,40,17,0,39,19,0,34,29,46,17,46,41
2019-12-29,<1,33,76,61,41,30,0,23,23,0,0,18,28,30,28,37
2020-01-05,<1,27,28,14,79,23,32,65,21,0,0,0,26,28,26,77
2020-01-12,<1,22,20,21,70,18,24,28,20,0,0,21,51,32,0,44
2020-01-19,<1,39,19,24,45,14,0,0,16,14,0,17,26,21,0,57
2020-01-26,<1,38,23,42,42,14,24,43,0,14,29,48,26,20,25,34
2020-02-02,<1,39,21,14,47,28,25,44,16,14,29,25,53,28,26,62
2020-02-09,<1,71,27,32,41,27,24,42,0,0,29,16,26,14,25,71
2020-02-16,<1,38,27,28,37,13,36,35,20,14,28,16,26,22,0,57
2020-02-23,<1,63,47,34,58,33,47,0,15,13,0,16,50,18,25,51
2020-03-01,<1,33,34,41,45,33,0,42,23,27,0,16,25,27,0,46
2020-03-08,<1,29,13,22,61,13,23,0,20,0,27,0,24,32,48,45
2020-03-15,<1,21,13,57,35,13,23,40,14,0,0,15,0,39,0,7
2020-03-22,<1,35,19,21,20,12,22,39,28,12,25,15,23,0,0,17
2020-03-29,<1,30,17,33,32,12,22,19,18,0,51,22,23,12,0,24
2020-04-05,<1,24,13,30,31,25,0,20,14,13,0,15,0,13,0,33
2020-04-12,<1,15,0,19,13,37,0,19,21,12,26,15,23,38,0,22
2020-04-19,<1,24,13,25,19,12,22,0,21,12,26,0,23,37,0,17
2020-04-26,<1,20,0,12,9,24,21,19,18,12,0,0,0,12,0,14
2020-05-03,<1,27,12,17,33,0,43,19,14,12,0,0,23,0,23,35
2020-05-10,<1,30,12,12,11,12,21,28,13,0,0,0,0,24,0,16
2020-05-17,<1,27,21,25,13,18,22,19,14,12,25,0,47,12,0,21
2020-05-24,<1,18,22,22,20,26,0,20,15,13,0,0,0,13,0,25
2020-05-31,<1,20,12,30,19,0,21,19,20,12,0,0,22,12,22,28
2020-06-07,<1,10,24,30,38,12,21,19,0,0,25,21,34,18,0,27
2020-06-14,<1,53,18,16,31,24,21,37,0,0,0,14,23,12,22,19
2020-06-21,<1,17,13,17,40,12,0,20,14,0,0,0,24,12,23,24
2020-06-28,<1,20,12,12,29,12,21,0,14,12,25,14,23,28,22,28
2020-07-05,<1,21,0,22,35,25,22,20,14,13,0,30,24,13,0,32
2020-07-12,<1,22,22,18,26,0,24,21,35,13,28,0,25,13,25,23
2020-07-19,<1,34,14,18,31,13,0,21,31,14,0,16,26,14,0,39
2020-07-26,<1,0,99,100,45,0,0,0,0,100,0,0,0,100,0,0
