Semana,Museo Nacional del Prado: (Todo el mundo),plaza mayor: (Todo el mundo),Parque de El Retiro: (Todo el mundo),puerta del sol: (Todo el mundo),gran via: (Todo el mundo),Museo Nacional Thyssen-Bornemisza: (Todo el mundo),templo de debod: (Todo el mundo),Catedral de Santa María la Real de la Almudena: (Todo el mundo),cibeles: (Todo el mundo),Palacio de Cristal: (Todo el mundo),puerta de alcala: (Todo el mundo),el rastro: (Todo el mundo),las ventas: (Todo el mundo),chueca: (Todo el mundo),san gines: (Todo el mundo),callao: (Todo el mundo),calle serrano: (Todo el mundo)
2017-10-15,1,62,37,15,56,53,74,15,24,52,69,71,46,56,36,63,80
2017-10-22,1,61,42,13,53,55,54,20,22,61,56,59,43,56,38,58,76
2017-10-29,1,68,36,16,55,61,65,32,20,46,57,55,38,57,36,57,60
2017-11-05,1,58,31,18,53,49,62,94,19,46,56,64,40,58,38,56,68
2017-11-12,1,59,34,18,54,54,64,14,21,46,65,60,43,58,40,61,76
2017-11-19,1,58,35,17,57,44,71,10,21,54,60,55,41,55,33,59,71
2017-11-26,1,62,29,17,62,39,55,10,21,20,54,48,38,50,39,58,71
2017-12-03,1,87,35,21,65,48,100,11,29,53,68,50,35,53,42,56,76
2017-12-10,1,67,22,17,54,42,56,9,19,32,61,50,32,46,31,64,75
2017-12-17,1,83,26,18,60,38,37,8,21,36,42,41,22,46,39,61,77
2017-12-24,1,79,35,24,68,44,70,14,21,67,57,40,22,57,46,63,71
2017-12-31,1,70,25,30,68,45,59,11,21,33,55,53,23,45,45,67,73
2018-01-07,1,49,28,17,60,43,44,9,18,36,48,53,27,52,32,64,73
2018-01-14,1,50,30,14,56,53,56,8,19,34,60,51,28,50,34,59,82
2018-01-21,1,50,28,15,54,40,70,10,22,53,44,48,31,50,29,65,63
2018-01-28,1,49,30,14,51,39,58,10,20,45,52,50,34,52,41,66,89
2018-02-04,1,54,31,14,55,39,55,9,21,28,52,49,36,47,29,68,82
2018-02-11,1,60,33,16,56,58,84,8,22,62,59,49,35,55,33,65,57
2018-02-18,1,55,36,17,55,51,58,10,23,51,44,50,40,55,29,64,68
2018-02-25,1,59,35,15,55,41,56,10,21,50,47,56,41,48,35,66,78
2018-03-04,1,54,31,15,50,47,42,9,23,51,45,57,42,50,38,66,68
2018-03-11,1,53,34,16,50,45,53,9,22,80,64,63,45,54,45,63,83
2018-03-18,1,57,71,14,52,43,56,13,18,55,61,63,42,53,43,67,58
2018-03-25,1,65,100,15,60,45,97,15,24,44,55,54,38,62,51,60,64
2018-04-01,1,52,71,16,53,49,91,13,26,31,45,63,47,54,33,66,79
