Semana,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),Parque de El Retiro: (Dinamarca),puerta del sol: (Dinamarca),gran via: (Dinamarca),Museo Nacional Thyssen-Bornemisza: (Dinamarca),cibeles: (Dinamarca),El Rastro: (Dinamarca),Plaza de Toros de Las Ventas: (Dinamarca),Chueca: (Dinamarca),callao: (Dinamarca)
2019-12-15,0,40,0,0,28,0,0,0,0,0,43
2019-12-22,0,46,0,0,0,0,0,0,0,0,0
2019-12-29,25,41,0,0,29,0,0,47,0,0,59
2020-01-05,22,0,0,0,0,0,39,0,0,0,53
2020-01-12,0,36,0,0,0,0,0,0,0,0,53
2020-01-19,53,76,0,0,26,0,79,0,0,0,95
2020-01-26,30,38,0,0,26,0,0,42,0,0,27
2020-02-02,38,39,0,46,40,0,0,0,0,0,64
2020-02-09,59,0,0,0,28,0,41,0,0,0,29
2020-02-16,22,0,0,46,26,0,0,0,46,0,27
2020-02-23,0,0,0,0,26,0,0,42,0,0,53
2020-03-01,44,0,0,0,25,0,0,0,0,0,26
2020-03-08,21,71,0,0,0,0,0,0,0,0,26
2020-03-15,63,0,0,0,0,0,37,0,0,0,0
2020-03-22,21,0,0,64,24,0,0,0,0,0,25
2020-03-29,20,0,0,0,0,36,0,0,0,0,0
2020-04-05,23,0,0,0,0,0,39,0,0,0,0
2020-04-12,21,0,0,44,25,0,0,0,0,0,0
2020-04-19,22,0,0,0,25,0,0,0,0,0,35
2020-04-26,20,0,0,0,0,0,0,0,0,0,0
2020-05-03,35,0,0,0,49,0,0,0,0,0,25
2020-05-10,21,0,0,42,24,0,0,0,0,0,0
2020-05-17,44,0,0,45,0,0,38,0,0,0,53
2020-05-24,0,36,23,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,25
2020-06-07,21,35,22,42,24,0,0,39,0,0,25
2020-06-14,22,0,0,0,0,0,0,0,0,0,0
2020-06-21,35,0,0,0,27,0,0,0,0,0,28
2020-06-28,66,0,0,0,0,40,0,0,0,0,0
2020-07-05,23,39,0,0,0,0,0,0,0,0,0
2020-07-12,41,42,0,0,29,0,43,0,0,0,0
2020-07-19,24,0,0,0,28,0,0,0,0,0,29
2020-07-26,0,0,0,0,0,0,0,0,0,0,0
